,State,District,Year,Civilians,Security Forces,Terrorists/Insurgents/Extremists,Not Specified,Total Fatalities,Funds Released,Annual Allocation,Rural Literacy Rate,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total Forest Cover,Actual Rainfall (mm),Ruggedness Minimum,Ruggedness Maximum,Ruggednness Range,Ruggedness Mean,Ruggednness Std. Dev,Ruggedness Sum,Pollution (μg/m3)
760,West Bengal,South_24_Parganas,2010,0,0,0,0,0,30.66,30.66,0.656363945,9960,1014,889,502.5,2405.5,1141.95,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,37.88308457
761,West Bengal,South_24_Parganas,2011,0,0,0,0,0,34.84,34.84,0.656363945,9960,1014,889,503,2406,1442.1,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,36.62899068
762,West Bengal,South_24_Parganas,2012,0,0,0,0,0,32.49,34.84,0.656363945,9960,997,820.5,772.5,2590,738.22,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,40.0094659
763,West Bengal,South_24_Parganas,2013,0,0,0,0,0,0,42.73,0.656363945,9960,980,752,1042,2774,2019.66,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,38.28151734
764,West Bengal,Uttar_Dinajpur,2007,0,0,0,0,0,18.03,19.93,0.466288405,3140,0,2,174,176,1962.91,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,48.5576268
765,West Bengal,Uttar_Dinajpur,2008,0,0,0,0,0,0,19.93,0.466288405,3140,0,2,174,176,2144.51,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,50.79298358
766,West Bengal,Uttar_Dinajpur,2009,0,0,0,0,0,15.09,19.93,0.466288405,3140,0,2,174,176,1772.46,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,56.75475828
767,West Bengal,Uttar_Dinajpur,2010,0,0,0,0,0,19.93,19.93,0.466288405,3140,0,2,174,176,2183.21,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,54.5440487
768,West Bengal,Uttar_Dinajpur,2011,0,0,0,0,0,21.93,21.93,0.466288405,3140,0,2,174,176,2019.84,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,51.19348262
769,West Bengal,Uttar_Dinajpur,2012,0,0,0,0,0,6.38,21.93,0.466288405,3140,0,2,207.5,209.5,2182.82,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,62.16227753
770,West Bengal,Uttar_Dinajpur,2013,0,0,0,0,0,0,26.91,0.466288405,3140,0,2,241,243,1963.31,0,54.72659302,54.72659302,5.570630948,4.923813934,17870.58408,51.09002264
